review,clean_text,sentiment
I like this game a lot but I'm not sure about the app developer. I DON'T DEVELOPE APPS and I could be wrong on the following opinions: I think the app developer has issues with Google and therefore takes it out on Android users. Why do I think that?.... because every other platform that supports Stardew valley has the latest update (1.6) which Android still doesn't have and they've had it for a while.,like game lot sure app developer develope apps could wrong following opinion think app developer issue google therefore take android user think every platform support stardew valley latest update android still,positive
Cũng đc,cũng đc,neutral
mong xóa tướng alicu khỏi liqi..,mong xóa tướng alicu khỏi liqi,neutral
Please add the real atc,please add real atc,positive
My love my job mylife,love job mylife,positive
Amazing and realistic please add more planes and features to use without pro,amazing realistic please add plane feature use without pro,positive
Greate,greate,neutral
its so easy to play I bet you can't beat me,easy play bet beat,positive
This game has a ridiculous amount of ads in it and the half times are the most irritating. Don't waste your time with this buffet of ads disguised as a game.,game ridiculous amount ad half time irritating waste time buffet ad disguised game,negative
"Good realism ...expecially the crashes fuel depleting , failures etc..I like it..if there's no consequences you won't be alert neither realistic..",good realism expecially crash fuel depleting failure etc like consequence alert neither realistic,positive
It's a very nice game and helps your brain 5 stars,nice game help brain star,positive
I wanna give this one star just because robtop did not put metamorphosis in the NCS gauntlet but wannacry and berzerker did. THIS IS THE BEST GAME THOUGH IM JUST KIDDING!,want give one star robtop put metamorphosis nc gauntlet wannacry berzerker best game though kidding,positive
ff ara good,ff ara good,positive
Như c,như c,neutral
Not quite sure what I'm doing when I'm playing this game but it's done,quite sure playing game done,positive
How to free fire Indian???,free fire indian,positive
It's a good game to play,good game play,positive
Realistic i like this very much,realistic like much,positive
very nice game,nice game,positive
Great game,great game,positive
Lounch Free Fair nofmal,lounch free fair nofmal,positive
Saturday U on,saturday,neutral
Nice game,nice game,positive
Cool,cool,positive
my favourite flight sim but one issue I have is in the normal game is that you only have 3 free planes while other flight sims have more free planes so if the developers of the game see this can you guys maybe make like 1 or 2 more planes free like a boeing plane or something that I'll make me change this review to 5 stars,favourite flight sim one issue normal game free plane flight sims free plane developer game see guy maybe make like plane free like boeing plane something make change review star,positive
I install rfs pro but it want a update and I can't skip the update and when I install the update it is not installing,install rf pro want update skip update install update installing,neutral
Ok Iio,ok iio,positive
bring free diamond event such as play 60 minute and get free diamond . please one time,bring free diamond event play minute get free diamond please one time,positive
It's cool,cool,positive
Dabes itong laro ❤️❤️❤️❤️❤️❤️,dabes itong laro red heart red heart red heart red heart red heart red heart,neutral
opgame,opgame,neutral
Game is good but adds are annoying,game good add annoying,neutral
update d head!!!!,update head,neutral
So cool,cool,positive
"This is the best game I've stumbled across thanks to my classmate. My whole life changed from boring to heaven, but sometimes it's frustrating, but the levels are super fun!1!",best game stumbled across thanks classmate whole life changed boring heaven sometimes frustrating level super fun,positive
Love this game. Life of simple farmer,love game life simple farmer,positive
this game is very good and 👍 nice. but there are so many ads,game good thumb nice many ad,positive
All the game is now is just ads they changed it completely please devs change it back I actually enjoyed this game,game ad changed completely please devs change back actually enjoyed game,positive
It is just kind of hard and fun at every level,kind hard fun every level,positive
Fun!!,fun,positive
It's good to play when board,good play board,positive
Ung ho son phi gaming,ung ho son phi gaming,neutral
"Very good game, won this some years ago! Recommended for those who like atmospheric games with puzzles and platforming.",good game year ago recommended like atmospheric game puzzle platforming,positive
Game như c,game như c,neutral
Amazing,amazing,positive
Difficult game but nice concept,difficult game nice concept,negative
Sometimes it actually makes u mad when u die but if u think about it its actually fun,sometimes actually make mad die think actually fun,negative
I am not interested free fire game But enmy,interested free fire game enmy,positive
"2 star, doesn't even load or open, can't even do anything, tried reseting my chromebook but it just still doesn't work at all, works on my phone but I've always wanted to try it on a laptop but like I just said, i just can't play it cuz it doesn't load, it's stuck on the same screen, it's been 1 hour since I opened, still hasn't loaded, ig it's maybe a coding bug or the chromebook just doesn't support the app, I have no idea...",star even load open even anything tried reseting chromebook still work work phone always wanted try laptop like said play cuz load stuck screen hour since opened still loaded ig maybe coding bug chromebook support app idea,positive
"Ads, ads, ads, more ads, no more game, just ads.",ad ad ad ad game ad,neutral
Very addictive. Enjoying at the moment but it's early days,addictive enjoying moment early day,positive
Too many ads,many ad,neutral
"Horrible Account management. I deinstalled the game and installed it again because of the new update (on Android), but when I entered the game, all of my data was gone, so I tried to log in again. The problem is there is a log in bug what says ""sync failed"". Now all of my data is literally gone.",horrible account management deinstalled game installed new update android entered game data gone tried log problem log bug say sync failed data literally gone,negative
jack1214 jackmillar,jack jackmillar,neutral
The game is cool👍,game cool thumb,negative
best,best,positive
The best <3,best,positive
Great,great,positive
Wow 😍,wow smiling face heart eye,positive
It's so fun and addictive I get lost in this game real fast,fun addictive get lost game real fast,positive
nice,nice,positive
"ughhh... I mean what is so hard here. What is stopping you guys from just making the game that people want to play. ""Endless Hole"" is just a bunch of randomom stuff, no obstacles, no stakes. just take the think you advertise, and make it the real game.... what is so hard about that?...",ughh mean hard stopping guy making game people want play endless hole bunch randomom stuff obstacle stake take think advertise make real game hard,negative
This is so good to play,good play,positive
Aze Felicity Montero l,aze felicity montero l,neutral
Dùng nhiều dữ liệu,dùng nhiềyou dữ liệyou,neutral
His game ne meri bord exam barbad kar Diya ha me fail ho geye 😨😨,game ne meri bord exam barbad kar diya ha fail ho geye fearful face fearful face,negative
"This game is just amazing 🤩. The only problem for which I'm giving 3 stars cause there is only 3 planes available in normal version of rfs. There should be more planes in normal version of rfs like Boeing 737, Boeing 777 etc.",game amazing star struck problem giving star plane available normal version rf plane normal version rf like boeing boeing etc,positive
Game siu hay,game siu hay,neutral
Funny and educational,funny educational,positive
It is fun but difficult,fun difficult,negative
its really fun for kids like me,really fun kid like,positive
way to many ads can any of you make a game that doesn't have and ad after you loss or win a game umm really you all don't need to put this many ads in a game maybe 1 ad ever 1 would be better not after a minute or less stop with the stupid ads,way many ad make game ad loss win game umm really need put many ad game maybe ad ever would better minute le stop stupid ad,positive
Maganda,maganda,neutral
Freeform,freeform,neutral
FUN,fun,positive
Best game,best game,positive
Super duper awesome fun time.,super duper awesome fun time,positive
Just so happy to play a good game with no ad and no ingame payment.,happy play good game ad ingame payment,positive
Best 2$ ive spent in my life,best spent life,positive
"Dear dev: This game is my best game, I rate it A+.in the version 2.218 you must add reply,change the icon at the bottom corner into news and add edit ur icon but needs 14000 orbs.if these get added this would be rated S+fr fr.i want this game to be the best game.ignore the people that need to rate this 0 star, they have worst phones.good luck!",dear dev game best game rate version must add reply change icon bottom corner news add edit icon need orb get added would rated fr fr want game best game ignore people need rate star worst phone good luck,positive
"#BlastFromThePast. With the most recent 2.2 update, this game has gotten EVEN BETTER!! I'm so glad this game hasn't been ruined by ANYTHING, and it's another thing from my childhood that I'm grateful I haven't forgotten about.",blastfromthepast recent update game gotten even better glad game ruined anything another thing childhood grateful forgotten,positive
So graze game 🎮,graze game video game,negative
I have a whole story to tell how much I love this game but in short experience it yourself you won't regret it 🖤,whole story tell much love game short experience regret black heart,positive
Kupal kasi,kupal kasi,neutral
"Tis game is so nice i am thinking i am fall downing from tarest and i am using twol,cat ,hair,blacket and what what",game nice thinking fall downing tarest using twol cat hair blacket,positive
👌👌👌🤘🤘,ok hand ok hand ok hand sign horn sign horn,positive
Great !!,great,positive
very good,good,positive
I love it its hard and fun at the same time it is really adicting plus everyone loves the game,love hard fun time really adicting plus everyone love game,positive
I love u free fire 💝,love free fire heart ribbon,positive
very good game,good game,positive
"Great game, very addictive. Build up in complexity with a range of skill and thought required for various puzzles.",great game addictive build complexity range skill thought required various puzzle,positive
Too few maps and play modes.,map play mode,neutral
"This might be one of the top 5 games I've played in my lifetime. I love the styling, the game play is great. It's challenging in the right spots, and makes you use your head. I can't believe this game has been put for 10+ years and I barely found it. Incredible game.",might one top game played lifetime love styling game play great challenging right spot make use head believe game put year barely found incredible game,positive
It gose hier ech time,gose hier ech time,neutral
Vortrox is Better,vortrox better,positive
It won't even let me in the game. It says I need to click yes on the permissions dialogue and I don't know what that is.,even let game say need click yes permission dialogue know,positive
Wow,wow,positive
iklanny kurang banyak😦😦,iklanny kurang ban yak frowning face open mouth frowning face open mouth,negative
Best experience in playing the game,best experience playing game,positive
perfect,perfect,positive
Amazing,amazing,positive
सतीश यादव बिना यादव अभिषेक यादव अभिषेक यादव,सतीश यादव बिना यादव अभिषेक यादव अभिषेक यादव,neutral
Great game 😺,great game grinning cat,positive
Very fun,fun,positive
Just awesome ✈️.... Improvements and updates every time... The game itself is just realistic... The controls are very relatable... The liveries are so many .. the planes too... And more are introduced every time..... I just love this game...✈️,awesome airplane improvement update every time game realistic control relatable livery many plane introduced every time love game airplane,positive
I love your games,love game,positive
Very good game make the one year subscription lifelong and offer a free trial that is why I rated it 4 stars,good game make one year subscription lifelong offer free trial rated star,positive
Awesome,awesome,positive
Great,great,positive
Every level has ads .,every level ad,neutral
Samurai FM Barrow Google I don't think,samurai fm barrow google think,neutral
Awesome!,awesome,positive
I love this game,love game,positive
This is sooo nice and cool. The hole gets bigger when it eats. 👌😊🙉,soo nice cool hole get bigger eats ok hand smiling face smiling eye hear evil monkey,positive
10 d,,neutral
Please restrict my account why my account issues,please restrict account account issue,neutral
It is so fun,fun,positive
Levels you should delete: all of them I will cry if you keep this game,level delete cry keep game,negative
Like it,like,positive
The game is so good it's not boring anywhere you go you can play it it's stress realever it's good for your mental health,game good boring anywhere go play stress realever good mental health,positive
wow the game is fun but can you give more lvl please so is more funn,wow game fun give lvl please funn,positive
Hello moonactive i am not geting side free event I don't understand why,hello moonactive geting side free event understand,positive
This game is so fun but so hard I guess I'll give it a Five star because Let's so fun but i can't play with friends thats the thing and you should make geometry dash on xbox,game fun hard guess give five star let u fun play friend thing make geometry dash xbox,positive
this is great game,great game,positive
I Love it,love,positive
I LOVE IT .,love,positive
Oop game of,oop game,neutral
"All out amazing game, one problem I see. When you use the emergency feature and use the slide, only 1 slide comes out from a door, I recommend updating and adding more emergency slides for more realism.",amazing game one problem see use emergency feature use slide slide come door recommend updating adding emergency slide realism,negative
Ok,ok,positive
Relaxing,relaxing,positive
ITS SO FUN YALL GOT TO TRY!!!,fun got try,positive
Free fire launch kab hoga 🤬🤬🤬🤬🤬🤬🤬,free fire launch kab hoga face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth face symbol mouth,positive
But it is not working,working,neutral
Fun game!,fun game,positive
THIS IS FUN!!!,fun,positive
I wish y'all would make Inside for mobile. This is also amazing.,wish would make inside mobile also amazing,positive
Pretty good game I play a lot,pretty good game play lot,positive
I love the game Stardew valley but also in the same time in the handheld us the phone it's very difficult to do all your farming chores,love game stardew valley also time handheld u phone difficult farming chore,negative
I love this game!!!,love game,positive
Why Do we have to Bye pro I mean We PAYED like it a Good game so good but why do we have TO PAY FOR PRO,bye pro mean payed like good game good pay pro,positive
what the sigma,sigma,neutral
Miss to play it,miss play,neutral
"the game is flickering on oled display, unplayable",game flickering oled display unplayable,negative
Im like free fire,like free fire,positive
10/10 Game also my first favourite game i ever play since 2017,game also first favourite game ever play since,positive
"Very limited, even when purchased. No way to switch pilot view?? Avoid....",limited even purchased way switch pilot view avoid,negative
Stardew Valley is a great game but Robin loves wood but I cant give her my wood for that I cannot give it more than one star,stardew valley great game robin love wood give wood give one star,positive
is so good game,good game,positive
Keeps crashing lately 😔,keep crashing lately pensive face,neutral
Addictive!,addictive,neutral
Good game :),good game,positive
Peak mobile games are paid not free and this game one of them,peak mobile game paid free game one,positive
FIRE IN THE HOLE 🔥🔥🔥🗣🗣,fire hole fire fire fire speaking head speaking head,negative
this game are amazing!!,game amazing,positive
Op,op,neutral
Free fire India comeback please garena 🥺🥺🥺🥺🙏🙏,free fire india comeback please garena pleading face pleading face pleading face pleading face folded hand folded hand,positive
I have an emotional bond to the game,emotional bond game,positive
Nic 😍😍😍😍,nic smiling face heart eye smiling face heart eye smiling face heart eye smiling face heart eye,neutral
Game cờ bạc trá hình dưới dạng MOBA,game cờ bạc trá hình dưới dạng moba,neutral
I was really enjoying this but one day my shears and milking bucket just randomly started disappearing from my inventory. Same with my hoe. Will give 5 stars when this is fixed.,really enjoying one day shear milking bucket randomly started disappearing inventory hoe give star fixed,positive
"Love how the game's AI is set up for you to fail, and when you revive it makes sure to set you up for failure again so you watch another ad. I don't know why so much people play this all of a sudden, this game is dookie and set up for you to fail.",love game ai set fail revive make sure set failure watch another ad know much people play sudden game dookie set fail,neutral
Really one of the best 2d puzzle game I've ever played... Worth it... Thank u designers and developers well designed team.. hope to see many games.. thank u..,really one best puzzle game ever played worth thank designer developer well designed team hope see many game thank,positive
Kawsar Kawsar kawsar,kawsar kawsar kawsar,neutral
New version is lag and crash on Xiaomi 12 device.,new version lag crash xiaomi device,positive
Actually okay 👍😊,actually okay thumb smiling face smiling eye,positive
Game rác. Trụ mỏng dính. Nhái liên minh nhưng chưa đủ trình. Quá rác.,game rác trụ mỏng dính nhái liên minh nhưng chưa đủ trình quá rác,neutral
Its fun it's just that sometimes at the 4 k mark i starts giving blocks that are impossible to place forcing you to fail honestly I dont recommend,fun sometimes k mark start giving block impossible place forcing fail honestly recommend,positive
So nice,nice,positive
"What a nice game, it's always worth the waiting",nice game always worth waiting,positive
Tại sao game này không chơi được trên đt redmi nữa vậy ạ?,tại sao game này không chơi được trên đt redmi nữa vậy ạ,neutral
hay!!!,hay,neutral
Kinda sucks,kind suck,positive
Hssssss🥀❣️💞💞💞😎😎😍😍😍😎🧡💔👑👑💟📷💟📷📷📷📸📸📸🧡🧡👌👌👌👌💖💖💖💖💖😁😁😁😁😍😍😍😘😘😘🤤🤤,h wilted flower heart exclamation revolving heart revolving heart revolving heart smiling face sunglass smiling face sunglass smiling face heart eye smiling face heart eye smiling face heart eye smiling face sunglass orange heart broken heart crown crown heart decoration camera heart decoration camera camera camera camera flash camera flash camera flash orange heart orange heart ok hand ok hand ok hand ok hand sparkling heart sparkling heart sparkling heart sparkling heart sparkling heart beaming face smiling eye beaming face smiling eye beaming face smiling eye beaming face smiling eye smiling face heart eye smiling face heart eye smiling face heart eye face blowing kiss face blowing kiss face blowing kiss drooling face drooling face,positive
Chơi hay gặp trẻ trâu nên cho 4 sao thôi,chơi hay gặp trẻ trâyou nên cho sao thôi,neutral
In order to play anything more than a brief minute of the game you have to spend equivalent time watching obnoxious ads that make you jump through hoops just to exit them (I'm gen z that's saying something) I'd just like to...idk...actually play the game for more than a second,order play anything brief minute game spend equivalent time watching obnoxious ad make jump hoop exit gen z saying something would like know actually play game second,positive
I just love this fun and somewhat challenging. I like it.,love fun somewhat challenging like,positive
It does not let me put an account... 😞 Can you tell me how?,let put account disappointed face tell,negative
Great app,great app,positive
Mere short gun ka scene hat gaya hai please back sir,mere short gun ka scene hat gaya hai please back sir,neutral
Good experience,good experience,positive
Nice game,nice game,positive
Insta ad playing at full blast even with sound turned off? Insta delete.,insta ad playing full blast even sound turned insta delete,positive
Hayhayhay,hayhayhay,neutral
This game is the best plane game of my life!! Omg I love it its so realistic!! If anyone see this comment pls download this game!! Is so good game!,game best plane game life omg love realistic anyone see comment pls download game good game,positive
"This is very bad. cm done cheating ,everytime when I do spin max he don't give raid even approx til 200 spin.and in wild life I throw bomb for water can n I get max water can but he didn't increase in tree .very disappointing.",bad cm done cheating everytime spin max give raid even approx til spin wild life throw bomb water n get max water increase tree disappointing,negative
This is good enough to burn my time.,good enough burn time,positive
Easy fun rewarding,easy fun rewarding,positive
Hriffb,hriffb,neutral
Khi nào có thể report bọn phá game thì 5 sao,khi nào có thể report bọn phá game thì sao,neutral
My favourite game free fir,favourite game free fir,neutral
"Keeps on crashing, unplayable",keep crashing unplayable,negative
Por,por,neutral
I really² love this game😍,really² love game smiling face heart eye,positive
I get hit with ads left and right,get hit ad left right,neutral
"It's a game. Kind of boring to play & grind on due to energy caps since you have to sleep for about 75% of the gameplay in the early beginning of the game. Also, Isle of The Prarie King is terrible, especially with how awkward mobile controls are- 100% never getting updated but still, terrible that it even got through.",game kind boring play grind due energy cap since sleep gameplay early beginning game also isle prarie king terrible especially awkward mobile control never getting updated still terrible even got,negative
Very nice game,nice game,positive
Real and good but how do you unlock pro,real good unlock pro,positive
Beautiful and calm 🐔,beautiful calm chicken,positive
Bro full game free please,bro full game free please,positive
This is a epic game and the world best game u tru is cuz it is has a spider and u want to find ur sister and solve puzzles it is the best game🤪,epic game world best game tru cuz spider want find sister solve puzzle best game zany face,positive
Great idle time game!,great idle time game,positive
"Installed the game because it looks like Katamari damacy. 30 seconds in in the middle of gameplay, everything stops and shoves an ad in my face. No thanks.",installed game look like katamari damacy second middle gameplay everything stop shove ad face thanks,positive
Fun game,fun game,positive
I like geometre Dash,like geometre dash,positive
game rac toàn map,game rac toàn map,neutral
Alif,alif,neutral
"I read it I storeroblox and the family, I am now a little bit concerned 😟 😨 🫨 😅 🙃 😐 😟 😨 🫨",read storeroblox family little bit concerned worried face fearful face shaking face grinning face sweat upside face neutral face worried face fearful face shaking face,negative
I love the icons and levels but I wish everyone played you kill you get that skin,love icon level wish everyone played kill get skin,positive
💕💕💕💕,two heart two heart two heart two heart,neutral
so many ads. way too many.,many ad way many,neutral
Brilliant I'm speach less,brilliant speach le,positive
No game no topup,game topup,neutral
o9-0+,,neutral
Cập nhật lag vc thả chiêu ko đc bay mất mấy sao 😡,cập nhật lag vc thả chiêyou ko đc bay mất mấy sao enraged face,negative
Ok,ok,positive
Its a great game and has awesome graphics. Its very realistic. If I go pro can I play it on any device I have as long as I use my google account ? Now it doesnt do it. I have it on my phone when I'm on the go. but sometimes I play on my tablet because the screen is bigger and I had to start from the beginning on my tablet.,great game awesome graphic realistic go pro play device long use google account phone go sometimes play tablet screen bigger start beginning tablet,positive
"the game is so fun, I have been playing for 5 years 💯💯",game fun playing year hundred point hundred point,positive
Hello dai Maro id kina suspend kina garo ko plz 1 chans plz,hello dai maro id kina suspend kina garo ko plz chans plz,negative
Nice game,nice game,positive
very fum to play 5 star 🌟,fum play star glowing star,neutral
Beautiful Game ❤️,beautiful game red heart,positive
"It's a really fun game for when tour bored, but it's also frustrating at the same time. Because it will give you a block that it knows it won't fit in place and it makes you loose. So that can be frustrating",really fun game tour bored also frustrating time give block know fit place make loose frustrating,negative
India free fire lao hame hamara old free fire chahiye 😡😡,india free fire lao hame hamara old free fire chahiye enraged face enraged face,negative
The main levels are very fun but annoying when you die. Ispywithmylittleeye,main level fun annoying die ispywithmylittleeye,negative
Very nice,nice,positive
Bekr hai game 😡🤬,bekr hai game enraged face face symbol mouth,negative
Freefire P,freefire p,neutral
"Still has bad skin optimization, some skill hitboxes are too small or big despite how they look when thrown (from our side and enemy's), and SO MANY wrongful chatbannings",still bad skin optimization skill hitboxes small big despite look thrown side enemy many wrongful chatbannings,negative
Philippines Pinoy pride Games. 🇵🇭 🎮,philippine pinoy pride game philippine video game,positive
Hi this game so so so so so much it was a completely rip off,hi game much completely rip,neutral
🟢 < // []*,green circle,neutral
Mobile controls maybe not the best version compared to PC but workable and obviously way more convenient to play. Game itself is great,mobile control maybe best version compared pc workable obviously way convenient play game great,positive
Very good game for time pass,good game time pas,positive
Game chs đúng vui luon aaaaa,game chs đúng vui luon aa,neutral
really fun game im way to addicted,really fun game way addicted,positive
"I like this game but they need the B737 free and HD airport for oslo gardemoen and other airports, btw this game is the best flight simulator I've played",like game need b free hd airport oslo gardemoen airport way game best flight simulator played,positive
Cool,cool,positive
Good,good,positive
very nice game,nice game,positive
👎👎👎👎👎,thumb thumb thumb thumb thumb,neutral
hãy cho chúng tôi trải nghiệm trên giả lập,hãy cho chúng tôi trải nghiệm trên giả lập,neutral
I smell children,smell child,neutral
Irono,irono,neutral
It's very good game for time pass . 🤓 t's very enjoy full game.😍😍😍😍😍 ♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️🤟🏻I love this game .,good game time pas nerd face enjoy full game smiling face heart eye smiling face heart eye smiling face heart eye smiling face heart eye smiling face heart eye heart suit heart suit heart suit heart suit heart suit heart suit heart suit heart suit heart suit heart suit heart suit heart suit heart suit heart suit love gesture light skin tone love game,positive
ok,ok,positive
Mast game hai pr Prentice level 🎚️ Jada honi chiye,mast game hai pr prentice level level slider jada honi chiye,negative
START 28.09.2019,start,neutral
Fun and relaxing 👍,fun relaxing thumb,positive
I loveit,loveit,neutral
"Great game on computer. Not so great mobile. As everyone has said, buggy controls. My addition is theres no sound settings so youre forced to hear all at a set sound",great game computer great mobile everyone said buggy control addition sound setting forced hear set sound,positive
"This game is the worst game ever in my life because I have requested 10 times to delete account step by step but still nothing happened, even no OTP comes on in-game mail, I don't know why it gives option to delete account when its function doesn't work.😡",game worst game ever life requested time delete account step step still nothing happened even otp come game mail know give option delete account function work enraged face,negative
"Amazing game, could spend hours playing it.",amazing game could spend hour playing,positive
Sự kiện đẩy xu chán điên???? Game hắc dịch,sự kiện đẩy xu chán điên game hắc dịch,neutral
Fantastic way to kill time.,fantastic way kill time,positive
Incredible game and it's the only game I ever wasted money to get spins or other items. If I was able to give it 10 stars i would.,incredible game game ever wasted money get spin item able give star would,positive
It is so unrealistic game.🤮,unrealistic game face vomiting,negative
Old peak and Old Day Miss Garena🥹,old peak old day miss g arena face holding back tear,negative
This game used to be great. Now there are so many ads that it becomes intrusive and really ruins the play experience. Uninstalling.,game used great many ad becomes intrusive really ruin play experience uninstalling,positive
This is an amazing game but I miss the multiplayer aspect,amazing game miss multiplayer aspect,positive
it's so but soooooooooooooooo cool,soo cool,positive
"update 2024 ; past review was so silly. this game is so fire. i now have it on mobile, switch, and pc. so much to do!!",update past review silly game fire mobile switch pc much,negative
the best game ever,best game ever,positive
Super galing ko mga skibidi sigma,super galing ko mga skibidi sigma,positive
Its pretty fun but like every min an ad pops up and it really annoys me but it's still good,pretty fun like every min ad pop really annoys still good,positive
4 ads per game. Unplayable.,ad per game unplayable,negative
I like it,like,positive
It is a good game but the updates are just ruining it for all of us like if I wanted to start with a full canvas I would of played adventure mode but no classical mode isn't even classical any more.,good game update ruining u like wanted start full canvas would played adventure mode classical mode even classical,positive
Pazu ❤ Zla 𝔬𝔞,pazu red heart zla 𝔬𝔞,neutral
a fantastic game,fantastic game,positive
Good game but we need more free planes,good game need free plane,positive
Hash she's,hash,neutral
Nakaka tangal siya ng stress,nakaka tangal siya ng stress,negative
This is a very good game but diamonds are too much rich in money,good game diamond much rich money,positive
Supar,supar,neutral
Please refund my amount,please refund amount,positive
It's a very fun game and the fact it doesn't need wifi on mobile is amazing!Concerned Ape really outdone himself.,fun game fact need wifi mobile amazing concerned ape really outdone,positive
Nice game i like,nice game like,positive
😩,weary face,negative
Free. Fire,free fire,positive
Nice brooo,nice broo,positive
So entertaining,entertaining,positive
Really good too hard levels tho Still good,really good hard level though still good,positive
I love this game and it's so addicting to play.,love game addicting play,positive
aawo our maro,aawo maro,neutral
Good,good,positive
Please give response for free fire India,please give response free fire india,positive
FREE FIRE,free fire,positive
Best game in the world,best game world,positive
"I bought this game just to find out that on top of the game price they want me to pay a monthly subscription! Im limited to 3 aircrafts?!? UPDATE: I've emailed customer support, just for them to reply back to me just to say: Yeahhh we are a subscription game here's a link where you can subscribe. Thanks for the help. Much appreciated. Lol?",bought game find top game price want pay monthly subscription limited aircraft update emailed customer support reply back say yeahh subscription game link subscribe thanks help much appreciated lol,positive
Good game,good game,positive
Ok good,ok good,positive
Great game,great game,positive
This is a very good game,good game,positive
Nice games🎮,nice game video game,positive
Enjoy playing,enjoy playing,positive
Game rác,game rác,neutral
Very cool,cool,positive
FREE FIRE INDIA LAUNCH KARO WITHOUT WALA GAME NAHIN KHELENGE LIGHT OFF AB KARENGE 👋😡,free fire india launch karo without wala game nahin khelenge light ab karenge waving hand enraged face,positive
"This game is really really good, yet people think it has a virus, is it really true?",game really really good yet people think virus really true,positive
Siam Suefj,siam suefj,neutral
This game is fun and make your brain to think a lot and your brain keep on working for new ideas every level u go on very good i love this game,game fun make brain think lot brain keep working new idea every level go good love game,positive
Sebab gema ni palen bes didunia,sebab gema ni palen be didunia,neutral
because it will help your class 🩷💜🩵💚💛,help class pink heart purple heart light blue heart green heart yellow heart,positive
"Thực sự là ko hiểu ghép team đi rank kiểu j luôn ấy? Team ngta thì cục top các thứ, team mình toàn phế vật đi phá rank",thực sự là ko hiểyou ghép team đi rank kiểyou j luôn ấy team ngta thì cục top các thứ team mình toàn phế vật đi phá rank,positive
It's not really the exact same thing of the ticktok stuff memes so 1 out of 5 it's just really bad,really exact thing ticktok stuff meme really bad,negative
The game was so addictive♥️,game addictive heart suit,negative
3 stars cuz... JUST LET ME CREATE A BACKUP,star cuz let create backup,positive
Oyun her şeyiyle başarılı ve mobile oyuna göre gayet üst seviye ama tek sıkıntısı: Oyunu ilk alırken para ödüyorsun ve oyunu oynamak için her ay ciddi bir miktar para ödemek zorundasın.,oyun şeyiyle başarılı mobile oyuna göre gayet üst seviye ama tek sıkıntısı oyunu ilk alırken para ödüyorsun oyunu oynamak için ay ciddi bir miktar para ödemek zorundasın,neutral
game nhu cc,game nhu cc,neutral
Great,great,positive
Xàm,xàm,neutral
No There is too many adds it gets glitchy and doesn't catch all for voice.,many add get glitchy catch voice,neutral
Del sakib,del sakib,neutral
why do we have to suffer with a shtload of ads? i just want to play and enjoy. can't even play it offline. what happened to voodoo,suffer shtload ad want play enjoy even play offline happened voodoo,positive
Love it,love,positive
Great game,great game,positive
I myanmar I love you You love me လိုးချင်လား,myanmar love love လိုးချင်လား,positive
its so fun but not the ads...,fun ad,positive
awesome,awesome,positive
Fun game but need more levels!!!!,fun game need level,positive
Good game,good game,positive
We can't just pass even one level... So frustrating 😡😡😡😡. I don't want to give that one star.,pas even one level frustrating enraged face enraged face enraged face enraged face want give one star,negative
"Gameswise, it is a very unique gaming experience. The atmosphere is superb throughout the game. But the ending is a bit disappointing for me as it is a real cliffhanger. The gameplay is mostly puzzles. They are difficult at times, but not overly hard. You will manage to get past them without online guides with a little bit of patience.",gameswise unique gaming experience atmosphere superb throughout game ending bit disappointing real cliffhanger gameplay mostly puzzle difficult time overly hard manage get past without online guide little bit patience,negative
Wonderful,wonderful,positive
Its werry fun and u get smarter plus it killes the boredom😉😍😍💅💪❤👍,werry fun get smarter plus killes boredom winking face smiling face heart eye smiling face heart eye nail polish flexed biceps red heart thumb,positive
Ajai bor,ajai bor,neutral
Ah,ah,neutral
"I love the Beauty of Rfs, I like it But there is just 1 problem, The prices are not cheaper enough to buy Rfs Pro, I wish you guys have a Free pro trial for just 3 years. Plus, The game is good",love beauty rf like problem price cheaper enough buy rf pro wish guy free pro trial year plus game good,positive
Why everytime I tried to buy snack at Movie Theatre The Game always crashed? I Tried many times and it keeps crashed,everytime tried buy snack movie theatre game always crashed tried many time keep crashed,positive
"20 seconds of gameplay, 2 minutes of unstoppable ads. Hard pass.",second gameplay minute unstoppable ad hard pas,negative
Ko thể cập nhật,ko thể cập nhật,neutral
it is nice,nice,positive
Rescuer team hero,rescuer team hero,positive
Unbalanced matching algorithm. It just makes you play more in order to get to higher ranks,unbalanced matching algorithm make play order get higher rank,positive
Best game ever. Ok 😊,best game ever ok smiling face smiling eye,positive
I love how you can make your own levels,love make level,positive
"Worst game I've ever played. I've got a sore throat from yelling at my ipad because of geometry dash. 1. Now, I can't beat any main levels. 2. When my downtime goes off and my mum puts more time on but only in-between levels. I can't hear the song howsoever, and if I die, my game crashes 3. I can't beat any demon levels because they're too hard. 4. My levels never looked good. 5. Nobody ever has liked my levels. 6. I'm the worst player ever",worst game ever played got sore throat yelling ipad geometry dash beat main level downtime go mum put time level hear song howsoever die game crash beat demon level hard level never looked good nobody ever liked level worst player ever,negative
Game is fun but to many ads un-installed,game fun many ad un installed,positive
"Too much ads, good game but too much ads ruined the game play experience",much ad good game much ad ruined game play experience,positive
Love it!!! ❤,love red heart,positive
